S_No,S_Code
1290,SRKN
1291,HMO
1292,KHT
1293,VKI
1294,VDD
1295,TNR
1296,ANB
1297,VTM
1298,TSR
1299,DIG
1300,GDV
1301,KKLR
1302,AKVD
1303,BVRT
1304,AL
1305,TNKU
1306,NAB
1307,WSA
1308,DWG
1309,SMT
1310,KAH
1311,BJQ
1312,SMRR
1313,JRK
1314,ISH
1315,NOI
1316,MKRN
1317,LDA
1318,GW
1319,GAJ
1320,ANA
1321,KYX
1322,BNU
1323,GEA
1324,SAO
1325,SYA
1326,BQQ
1327,REI
1328,HDU
1329,JLW
1330,RPD
1331,VYK
1332,CHD
1333,LOA
1334,KKI
1335,NRZB
1336,GGT
1337,BDWA
1338,SNGP
1339,CLF
1340,JTI
1341,NIQ
1342,VKR
1343,HRB
1344,SBRA
1345,KOI
1346,BHTK
1347,KGS
1348,TGQ
1349,SLKR
1350,KLTR
1351,GTK
1352,USL
1353,MZH
1354,DRSN
1355,HRV
1356,KTMA
1357,BATL
1358,BJRI
1359,BRND
1360,MDGR
1361,PRDL
1362,CHRM
1363,ULT
1364,BRR
1365,KMME
1366,BOJ
1367,BXJ
1368,LKA
1369,JMK
1370,KWM
1371,JID
1372,DGU
1373,NLV
1374,BNGN
1375,KOJ
1376,FKM
1377,GOGH
1378,FLK
1379,JPE
1380,NFK
1381,BHW
1382,SBG
1383,CLG
1384,RGD
1385,NLD
1386,PQE
1387,BEHS
1388,GAYA
1389,AUBR
1390,DOS
1391,SSM
1392,BBU
1393,SRNT
1394,BWR
1395,NEW
1396,BTX
1397,KLAR
1398,KHU
1399,BTKP
1400,DBR
1401,BRG
1402,SRJ
1403,PLP
1404,URPR
1405,JNH
1406,SAW
1407,DLK
1408,TETA
1409,SUD
1410,AZR
1411,KWE
1412,LAV
1413,SMO
1414,KTRH
1415,NNR
1416,MSK
1417,LKN
1418,BKG
1419,PWS
1420,GLPT
1421,DLO
1422,TKR
1423,KUD
1424,LWR
1425,DRU
1426,GMO
1427,PNME
1428,KQR
1429,KID
1430,MYS
1431,S
1432,PANP
1433,MYA
1434,MAD
1435,CPT
1436,RMGM
1437,BID
1438,KGI
1439,SEO
1440,CDG
1441,CPA
1442,KGA
1443,SRO
1444,BRE
1445,ALY
1446,HDK
1447,GYN
1448,MBS
1449,BHLP
1450,MUV
1451,BCY
1452,ARJ
1453,DLR
1454,MAU
1455,IAA
1456,BLTR
1457,LRD
1458,SRU
1459,SANR
1460,KHM
1461,YG
1462,SADP
1463,YA
1464,RJP
1465,KOU
1466,PER
1467,JOC
1468,PRR
1469,MBM
1470,MAQ
1471,MJS
1472,KMQ
1473,KGQ
1474,KQK
1475,KZE
1476,NLE
1477,CHV
1478,PAY
1479,PAZ
1480,KPQ
1481,TLY
1482,MAHE
1483,BDJ
