,T_Num,Train,From,To,Days,Mon,Tue,Wed,Thurs,Fri,Sat,Sun
2,14720,BSP BKN ANTYODAYA EXP,Bilaspur Jn,Bikaner Jn,F,0,0,0,0,1,0,0
3,15551,DBG-BCY-DBG ANTYODAYA EXP,Darbhanga Jn,Varanasi City,W,0,0,1,0,0,0,0
4,22551,ANTYODYA SUP EX,Darbhanga Jn,Jalandhar City,Sa,0,0,0,0,0,1,0
5,22895,DURG FZR ANTYODAYA EXP,Durg,Firozpur Cantt Jn,Su,0,0,0,0,0,0,1
6,22878,ANTYODAYA EXP,Ernakulam Jn,Howrah Jn,M,1,0,0,0,0,0,0
7,22896,FZR DURG ANTYODAYA EXP,Firozpur Cantt Jn,Durg,Tu,0,1,0,0,0,0,0
8,22922,ANTYODAYA EXP,Gorakhpur,Bandra Terminus,Tu,0,1,0,0,0,0,0
9,22877,HWH ERS SUF EXP,Howrah Jn,Ernakulam Jn,Sa,0,0,0,0,0,1,0
10,22552,ANTYODAYA EXP,Jalandhar City,Darbhanga Jn,Su,0,0,0,0,0,0,1
11,15563,UDN ANTYODAYA EXPRESS,Jaynagar,Udhna Jn (Surat),F,0,0,0,0,1,0,0
12,16355,MAJN ANTYODAYA,Kochuveli,Mangalore Jn,Th Sa,0,0,0,1,0,1,0
13,22885,ANTYODAYA EXP,Lokmanyatilak,Tatanagar Jn,Tu Sa,0,1,0,0,0,1,0
14,16356,KCVL ANTYODAYA,Mangalore Jn,Kochuveli,F Su,0,0,0,0,1,0,1
15,22842,MAS SRC ANTYODAYA,Mgr Chennai Ctr,Santragachi Jn,W,0,0,1,0,0,0,0
16,20692,NCJ-TBM ANTYODAYA SF EXP,Nagarcoil Jn,Tambaram,Daily,1,1,1,1,1,1,1
17,22841,SRC MAS ANTYODAYA EXPRESS,Santragachi Jn,Mgr Chennai Ctr,M,1,0,0,0,0,0,0
18,20691,TBM-NCJ ANTYODAYA SF  EXP,Tambaram,Nagarcoil Jn,Daily,1,1,1,1,1,1,1
19,22886,ANTYODAYA EXP,Tatanagar Jn,Lokmanyatilak,Th Su,0,0,0,1,0,0,1
20,15564,JYG ANTYODAYA EXPRESS,Udhna Jn (Surat),Jaynagar,Su,0,0,0,0,0,0,1
21,15552,DBG-BCY-DBG ANTYODAYA EXP,Varanasi City,Darbhanga Jn,Th,0,0,0,1,0,0,0
0,12983,AII CDG G RATH,Ajmer Jn,Chandigarh,Tu F Su,0,1,0,0,1,0,1
1,12204,SHC GARIB RATH,Amritsar Jn,Saharsa Jn,W Sa Su,0,0,1,0,0,1,1
2,12212,MFP GRATH EXP,Anand Vihar Terminal,Muzaffarpur Jn,W,0,0,1,0,0,0,0
3,12436,JYG GARIB RATH,Anand Vihar Terminal,Jaynagar,Tu Sa,0,1,0,0,0,1,0
4,22406,BGP GARIB RATH,Anand Vihar Terminal,Bhagalpur,M W F,1,0,1,0,1,0,0
5,22408,BSB GARIB RATH,Anand Vihar Terminal,Varanasi Jn,M F,1,0,0,0,1,0,0
6,22410,GAYA GARIB RATH,Anand Vihar Terminal,Gaya Jn,Sa,0,0,0,0,0,1,0
7,12216,DEE GARIBRATH,Bandra Terminus,Delhi S Rohilla,Tu W F Su,0,1,1,0,1,0,1
8,12909,NZM GARIB RATH,Bandra Terminus,Hazrat Nizamuddin,Tu Th Sa,0,1,0,1,0,1,0
9,22405,ANVT GARIB RATH,Bhagalpur,Anand Vihar Terminal,Tu Th Sa,0,1,0,1,0,1,0
10,12594,LJN GARIBRATH,Bhopal  Jn,Lucknow Ne,M,1,0,0,0,0,0,0
11,12188,JBP GARIB RATH,C Shivaji Maharaj T,Jabalpur,Tu Th Su,0,1,0,1,0,0,1
12,12984,CDG AII G RATH,Chandigarh,Ajmer Jn,M W Sa,1,0,1,0,0,1,0
13,12215,BDTS GARIB RATH,Delhi S Rohilla,Bandra Terminus,M Tu Th Sa,1,1,0,1,0,1,0
14,22409,ANVT GARIB RATH,Gaya Jn,Anand Vihar Terminal,Su,0,0,0,0,0,0,1
15,12612,MAS GARIB RATH,Hazrat Nizamuddin,Mgr Chennai Ctr,M,1,0,0,0,0,0,0
16,12910,BDTS GARIBRATH,Hazrat Nizamuddin,Bandra Terminus,W F Su,0,0,1,0,1,0,1
17,12187,GARIBRATH EXP,Jabalpur,C Shivaji Maharaj T,M W Sa,1,0,1,0,0,1,0
18,12208,KGM GARIB RATH,Jammu Tawi,Kathgodam,Su,0,0,0,0,0,0,1
19,12435,GARIB RATH EXP,Jaynagar,Anand Vihar Terminal,M F,1,0,0,0,1,0,0
20,12209,KGM GARIBRATH,Kanpur Central,Kathgodam,Tu,0,1,0,0,0,0,0
21,12207,JAMMU GARIBRATH,Kathgodam,Jammu Tawi,Tu,0,1,0,0,0,0,0
22,12210,CNB GARIBRATH,Kathgodam,Kanpur Central,M,1,0,0,0,0,0,0
23,12202,LTT GARIB RATH,Kochuveli,Lokmanyatilak,Th Su,0,0,0,1,0,0,1
24,12258,KCVL YPR GR EXP,Kochuveli,Yasvantpur Jn,M W F,1,0,1,0,1,0,0
25,12359,PNBE GARIB RATH,Kolkata,Patna Jn,Tu Th Sa,0,1,0,1,0,1,0
26,12201,KCVL GARIBRATH,Lokmanyatilak,Kochuveli,M F,1,0,0,0,1,0,0
27,12535,LJN R GARIBRATH,Lucknow Ne,Raipur Jn,M Th,1,0,0,1,0,0,0
28,12593,LJN BPL G RATH,Lucknow Ne,Bhopal  Jn,Sa,0,0,0,0,0,1,0
29,12611,NZM GARIBRATH,Mgr Chennai Ctr,Hazrat Nizamuddin,Sa,0,0,0,0,0,1,0
30,12211,ANVT GARIB RATH,Muzaffarpur Jn,Anand Vihar Terminal,F,0,0,0,0,1,0,0
31,12114,PUNE GARIBRATH,Nagpur,Pune Jn,Tu F Su,0,1,0,0,1,0,1
32,12878,RNC GARIB RATH,New Delhi,Ranchi,Tu Th Su,0,1,0,1,0,0,1
33,12360,KOL GARIB RATH,Patna Jn,Kolkata,W F Su,0,0,1,0,1,0,1
34,12113,NGP GARIBRATH,Pune Jn,Nagpur,M W Sa,1,0,1,0,0,1,0
35,12882,GARIB RATH,Puri,Shalimar,M W,1,0,1,0,0,0,0
36,22883,GARIB RATH,Puri,Yasvantpur Jn,F,0,0,0,0,1,0,0
37,12536,LJN GARIBRATH,Raipur Jn,Lucknow Ne,Tu F,0,1,0,0,1,0,0
