507, Gadag Junction, 3
508, Castle Rock, 3
509, Kulem, 3
510, Sanvordem (Kudchade), 0
511, Madgaon Junction, 6
512, Vasco-da-Gama, 3
513, Toranagallu Junction, 3
514, Munirabad, 2
515, Koppal, 3
516, Annigeri, 2
517, Sisvinhalli, 2
518, Kargi Road, 3
519, Belgahna, 3
520, Pendra Road, 3
521, Anuppur Junction, 4
522, Amlai, 5
523, Burhar, 3
524, Shahdol, 3
525, Birsinghpur, 3
526, Umaria, 3
527, Katni Junction, 6
528, Sihora Road, 2
529, Jabalpur, 7
530, Madan Mahal, 4
531, Shridham, 3
532, Narsinghpur, 2
533, Kareli, 2
534, Gadarwara, 2
535, Bankhedi, 2
536, Pipariya, 3
537, Sohagpur, 2
538, Narmadapuram (Hoshangabad), 0
539, Gorakhpur Junction, 10
540, Khalilabad, 3
541, Basti, 4
542, Gonda Junction, 5
543, Roorkee, 3
544, Yamunanagar-Jagadhri, 3
545, Jalandhar Cantt. Junction, 3
546, Guwahati, 7
547, Kamakhya Junction, 4
548, Rangiya Junction, 5
549, New Bongaigaon Junction, 7
550, New Alipurduar, 3
551, New Cooch Behar, 7
552, Dhupguri, 3
553, Katihar Junction, 9
554, Karhagola Road, 3
555, Naugachia, 3
556, Khagaria Junction, 3
557, Begusarai, 3
558, Barauni Junction, 9
559, Samastipur Junction, 7
560, Muzaffarpur Junction, 8
561, Chakia, 2
562, Motihari, 2
563, Sagauli Junction, 2
564, Bettiah, 3
565, Narkatiaganj Junction, 6
566, Bagaha, 2
567, Siswa Bazar, 1
568, Kaptanganj Junction, 3
569, Varkala Sivagiri, 3
570, Karunagappalli, 3
571, Mavelikara, 3
572, Chengannur, 3
573, Tiruvalla, 4
574, Changanassery, 4
575, Kottayam, 3
576, Palakkad Town (Palghat), 0
577, Shrirampur (Serampore), 0
578, Seoraphuli Junction, 6
579, Chandan Nagar, 3
580, Chuchura, 3
581, Bandel Junction, 7
582, Khana Junction, 5
583, Mankar, 4
584, Waria, 4
585, Sitarampur Junction, 5
586, Rupnarayanpur, 3
587, Chittaranjan, 3
588, Jamtara, 2
589, Vidyasagar, 2
590, Mathurapur, 2
591, Simultala, 2
592, Gidhaur, 2
593, Jamui, 2
594, Mananpur, 2
595, Luckeesarai Junction, 4
596, Barhiya, 3
597, Hathidah Junction, 2
598, Barh, 4
599, Bakhtiyarpur Junction, 5
600, Fatuha Junction, 7
601, Danapur Junction, 6
602, Bihta, 2
603, Ara Junction, 4
604, Bihiya, 3
605, Banahi, 2
606, Raghunathpur, 4
607, Twining Ganj, 2
608, Dumraon, 2
609, Buxar, 3
610, Chausa, 3
611, Gahmar, 2
612, Bhadaura, 3
613, Dildarnagar Junction, 4
614, Zamania, 2
615, Dheena, 3
616, Sakaldiha, 2
617, Kuchman, 3
618, Vyasnagar, 2
619, Kashi, 3
620, Shivpur, 3
621, Birapatti, 2
622, Babatpur, 2
623, Pindra Road, 2
624, Khalispur, 2
625, Trilochan Mahadeo, 2
626, JalalGanj, 2
627, Sarkoni, 2
628, Zafarabad Junction, 4
629, Jaunpur City, 3
630, Shri Krishna Nagar, 2
631, HarpalGanj, 2
632, Koiripur, 2
633, Lambhua, 2
634, Shivnagar, 2
635, Musafir Khana, 2
636, Nihalgarh, 2
637, AkbarGanj, 2
638, Haidergarh, 2
639, Chhandrauli, 2
640, Alamnagar, 3
641, Sandila, 3
642, Balamau Junction, 4
643, Anjhi Shahabad, 2
644, Tilhar, 2
645, Pitambarpur, 3
646, Chandausi Junction, 3
647, Dhampur, 2
648, Jagadhri Workshop, 2
649, Ambala City, 3
650, Rajpura Junction, 3
651, Sirhind Junction, 3
652, Mandi Gobindgarh, 2
653, Khanna, 3
654, Chawa Pail, 2
655, Doraha, 2
656, Sanehwal, 3
657, Dhandari Kalan, 3
658, Ladhowal, 2
659, Phillaur Junction, 3
660, Goraya, 2
661, Phagwara Junction, 3
662, Chiheru, 2
663, Kartarpur, 2
664, New Delhi, 16
665, Sonipat Junction, 5
666, Panipat Junction, 5
667, Karnal, 3
668, Kurukshetra Junction, 5
669, Getor Jagatpura, 2
670, Baswa, 2
671, Charkhi Dadri, 2
672, Bhiwani Junction, 3
673, Hisar Junction, 6
674, Sirsa, 2
675, Talwandi, 1
676, Moga, 2
677, Jagraon, 2
678, Jakhal Junction, 3
679, Dhuri Junction, 4
680, Dibrugarh Town, 3
681, Tinsukia Junction, 2
682, Simaluguri Junction, 3
683, Mariani Junction, 3
684, Furkating Junction, 2
685, Dimapur, 3
686, Diphu, 2
687, Lumding Junction, 5
688, Hojai, 3
689, Chaparmukh Junction, 3
690, Desari, 2
691, Chhapra Junction, 5
692, Ballia, 4
693, Ghazipur City, 5
694, Faizabad Junction, 5
695, Kursela, 3
696, Thana Bihpur Junction, 3
697, Mansi Junction, 3
698, Khudiram Bose Pusa, 2
699, Dholi, 2
700, Hajipur Junction, 5
701, Sonpur Junction, 4
702, Chhapra Kacheri, 3
703, Siwan Junction, 5
704, Deoria Sadar, 3
705, Barabanki Junction, 4
706, Unnao Junction, 5
707, Etawah Junction, 5
708, Firozabad, 4
709, Hathras Junction, 4
710, Aligarh Junction, 7
711, Delhi Shahdara Junction, 4
712, Dadar Central, 8
713, Kasara, 4
714, Devlali, 3
715, Chalisgaon Junction, 4
716, Pachora Junction, 4
717, Savda, 2
718, Nimbhora, 2
719, Raver, 3
720, Nepanagar, 2
721, Talvadiya Junction, 2
722, Chhanera, 3
723, Khirkiya, 2
724, Banapura, 2
725, Budni, 2
726, Obaidulla Ganj, 3
727, Mandideep, 3
728, Sanchi, 2
729, Vidisha, 4
730, GulabGanj, 4
731, Ganj Basoda, 4
732, Mandi Bamora, 4
733, Dhaura, 3
734, Talbahat, 4
735, Basai, 3
736, Babina, 3
737, Datia, 3
738, Sonagir, 2
739, Dabra, 3
740, Gwalior Junction, 4
741, Morena, 4
742, Dholpur Junction, 3
743, Raja Ki Mandi, 4
744, Kosi Kalan, 6
745, Palwal, 8
746, Ballabh Garh, 5
747, Faridabad, 5
748, Hazrat Nizamuddin, 9
749, Sabzi Mandi, 2
750, Badli, 2
751, Narela, 2
752, Ganaur, 3
753, Samalkha, 3
754, Gharaunda, 2
755, Taraori, 3
756, Nilokheri, 2
757, Shahabad Markanda, 3
758, Patiala, 4
759, Nabha, 1
760, Malerkotla, 2
761, Ahmedgarh, 1
762, Dhilwan, 2
763, Tangra, 2
764, Jandiala, 2
765, Bhoras Budrukh, 2
766, Jamdha, 2
767, Rajmane, 2
768, Mordad Tanda, 2
769, Shirud, 2
770, Borvihir, 2
771, Mohadi Pragane Laling, 2
772, Dhule, 1
773, Bhadohi, 2
774, Badshahpur, 2
775, Jais, 2
776, Bachhrawan, 3
777, Roza Junction, 4
778, Nagina, 3
779, Chennai Egmore, 11
780, Tambaram, 8
781, Chengalpattu Junction, 9
782, Madurantakam, 2
783, Melmaruvathur, 4
784, Tindivanam, 3
785, Villupuram Junction, 6
786, Vriddhachalam Junction, 4
787, Tiruchchirappalli Junction, 8
788, Dindigul Junction, 5
789, Kodaikanal Road, 4
790, Madurai Junction, 6
791, Tirumangalam, 3
792, Virudunagar Junction, 4
793, Satur, 2
794, Kovilpatti, 2
795, Kadambur, 2
796, Vanchi Maniyachchi Junction, 3
797, Tirunelveli Junction, 5
798, Nanguneri, 2
799, Valliyur, 2
800, Aralvaymozhi, 2
801, Nagercoil Junction, 4
802, Eraniel, 2
803, Kulitturai, 2
804, Neyyattinkara, 2
805, Agra Fort, 4
806, Sawai Madhopur Junction, 4
807, New Guntur, 1
808, Madhira, 2
809, Dornakal Junction, 4
810, Mahbubabad, 2
811, Kesamudram, 2
812, Jammikunta, 2
813, Peddapalli Junction, 3
814, Rechni Road, 2
815, Sirpur Town, 2
816, Majri Junction, 3
817, Warora, 4
818, Multai, 3
819, Tuglakabad, 2
820, Okhla, 4
821, Delhi Kishan Ganj, 2
822, Shakur Basti, 3
823, Bahadurgarh, 3
824, Sampla, 2
825, Rohtak Junction, 3
826, Jind Junction, 4
827, Narwana Junction, 4
828, Tohana, 2
829, Lehra Gaga, 1
830, Chhajli, 1
831, Sunam Udham Singh Wala, 1
832, Sangrur, 2
833, Kila Raipur, 1
834, Hyderabad Deccan Nampally, 6
835, Secunderabad Junction, 10
836, Kazipet Junction, 3
837, Tirupati, 5
838, Renigunta Junction, 5
839, Kadapa (Cuddapah), 0
840, Tadipatri, 3
841, Kurnool City, 3
842, Gadwal Junction, 2
843, Mahbubnagar, 3
844, Kacheguda, 5
845, Andheri, 9
846, Sabarmati Junction, 3
847, Kalol Junction, 3
848, Shri Amirgadh, 2
849, SwarupGanj, 2
850, Nana, 2
851, Mori Bera, 2
852, Jawali, 2
853, Somesar, 2
854, Rajendra Nagar Terminal (Patna), 0
855, Khoirabari, 2
856, Tangla, 3
857, Udalguri, 3
858, Rowta Bagan, 2
859, Majbat, 2
860, New Missamari, 3
861, Rangapara North Junction, 5
862, Viswanath Charali, 3
863, Helem, 2
864, Gohpur, 2
865, Tatibahar, 2
866, Harmuti Junction, 3
867, North Lakhimpur, 3
868, Gogamukh, 2
869, Dhemaji, 3
870, Silapathar, 3
871, Telam, 2
872, Murkongselek, 3
873, Boisar, 3
874, Godhra Junction, 3
875, Dahod, 3
876, Meghnagar, 3
877, Bamnia, 3
878, Khachrod, 2
879, Nagda Junction, 5
880, Mahidpur Road, 2
881, Vikramgarh Alot, 2
882, Chau Mahla, 3
883, Suwasra, 2
884, Shamgarh, 3
885, Garoth, 2
886, Bhawani Mandi, 3
887, Jhalawar Road, 3
888, Ramganj Mandi Junction, 3
889, Morak, 3
890, Dakaniya Talav, 2
891, Kota Junction, 6
892, Lakheri, 3
893, Indargarh Sumerganj Mandi, 2
894, Gangapur City, 3
895, Shri Mahaveerji, 3
896, Hindaun City, 2
897, Bayana Junction, 3
898, Rupbas, 2
899, Fatehpur Sikri, 2
900, Kiraoli, 1
901, Idgah Agra Junction, 4
902, Yamuna Bridge Agra, 3
903, Shikohabad Junction, 4
904, Bharthana, 4
905, Phaphund, 4
906, Lucknow Junction NER, 6
907, Badshahnagar, 2
908, Gomti Nagar (Lucknow), 0
909, Burhwal Junction, 3
910, Jarwal Road, 2
911, ColonelGanj, 2
912, Mankapur Junction, 4
913, Maskanwa, 2
914, Babhnan, 2
915, Maghar, 3
916, Sahjanwa, 3
917, Pipraich, 2
918, Paniahwa, 2
919, Harinagar, 1
920, Mehsi, 2
921, Thandla Road, 3
922, Unhel, 2
923, Simaria, 3
924, Bachhwara Junction, 5
925, Dalsingh Sarai, 2
926, NazirGanj, 2
927, Ujiarpur, 3
928, Karpoori Gram, 2
929, , 0
930, Goraul, 3
931, Bhagwanpur, 3
932, Nayagaon, 2
933, Dighwara, 2
934, Kopa Samhota, 2
935, Daudpur, 2
936, Ekma, 0
937, Chainwa, 2
938, Duraundha Junction, 3
939, Jiradei, 1
940, Mairwa, 2
941, Bankata, 2
942, Bhatpar Rani, 2
943, Bhatni Junction, 5
944, Chauri Chaura, 2
945, Kemri, 1
946, Bilaspur Road, 0
947, Rudrapur City, 2
948, Haldi Road, 1
949, Lal Kuan Junction, 5
950, Haldwani, 3
951, Kathgodam, 3
952, Medinipur (Midnapore), 0
953, Chandrakona Road, 2
954, Bishnupur Junction, 3
955, Bankura Junction, 3
956, Adra Junction, 4
957, Burnpur, 3
958, Naihati Junction, 5
959, Shahpur Patoree, 2
960, Mehnar Road, 2
961, Sitalpur, 2
962, Suraimanpur, 2
963, Sahatwar, 2
964, Durgapura, 2
965, Palghar, 3
966, Virar, 8
967, Bhavnagar Terminus, 3
968, Bhavnagar Para, 2
969, Sihor Junction, 2
970, Songadh, 2
971, Dhola Junction, 3
972, Botad Junction, 7
973, Ranpur, 2
974, Limbdi, 2
975, Jorawarnagar, 1
976, Satna Junction, 3
977, Maihar, 3
978, Mandal Garh, 1
979, Bundi, 1
980, Gurla Junction, 3
981, Keshorai Patan, 3
982, Bharatpur Junction, 5
983, Asaoti, 5
984, Sholinghur, 3
985, Walajah Road Junction, 3
986, Mukundarayapuram, 2
987, Gudiyattam, 3
988, Ambur, 3
989, Kuppam, 2
990, Bangarapet Junction, 6
991, Malur, 4
992, Devangonthi, 3
993, Whitefield, 4
994, Krishnarajapuram, 4
995, Bengaluru East (Bangalore), 0
996, Bengaluru Cantt. (Bangalore), 0
997, Yesvantpur Junction, 6
998, Malleswaram, 2
999, Jadcherla, 3
1000, Penukonda Junction, 2
1001, Gauribidanur, 4
1002, Dodballapur, 4
1003, Yelahanka Junction, 5
1004, Ghataprabha, 2
1005, Darbhanga Junction, 5
1006, Mirzapur, 3
1007, Barpeta Road, 2
1008, Bolpur Shantiniketan, 3
1009, Kochuveli, 4
1010, Kanniyakumari, 3
1011, Parassala, 2
1012, Chirayinkeezhu, 2
1013, Kadakavur, 3
1014, Paravur, 3
1015, Piravom Road, 3
1016, Pudukkad, 2
1017, Orai, 3
1018, Begumpet, 2
1019, Sedam, 3
1020, Manderdisa, 2
1021, Hatikhali, 2
1022, Dijaobra, 0
1023, Langting, 2
1024, Dihakho, 1
1025, Mupa, 2
1026, Kalachand, 1
1027, Maibang, 2
1028, Wadrengdisa, 2
1029, Daotuhaja, 2
1030, Phiding, 1
1031, Mahur, 2
1032, Migrendisa, 2
1033, Lower Haflong, 3
1034, Bagetar, 2
1035, Haflong Hill, 1
1036, Jatinga, 2
1037, Longrangajao, 2
1038, Mailongdisa, 2
1039, Harangajao, 2
1040, Ditokcherra, 2
1041, Bandarkhal, 1
1042, Damchara, 2
1043, Chandranathpur, 2
1044, Bihara, 2
1045, Hilara, 2
1046, Sukritipur, 1
1047, Badarpur Junction, 3
1048, Badarpur Ghat, 1
1049, Panchgram, 2
1050, Katakhal Junction, 2
1051, Salchapra, 3
1052, Arunachal Junction, 3
1053, Silchar, 3
1054, Munderwa, 2
1055, Gorakhpur Cantt., 3
1056, Gauri Bazar, 2
1057, Shivaji Bridge, 6
1058, Tilak Bridge, 7
1059, Anand Vihar, 2
1060, Sahibabad Junction, 5
1061, Pilkhua, 3
1062, Garhmuktesar, 3
1063, Gajraula Junction, 4
1064, Nagaria Sadat, 1
1065, Simbhooli, 2
1066, Raja Ka Sahaspur Junction, 3
1067, Asafpur, 1
1068, Purua Khera, 1
1069, Dabtara, 2
1070, Karengi, 1
1071, Reoti Bahora Khera, 1
1072, Aonla, 2
1073, Nisoi, 1
1074, BasharatGanj, 1
1075, Jeonathpur, 2
1076, Ahraura Road, 4
1077, Kailahat, 4
1078, Chunar Junction, 5
1079, Dagmagpur, 1
1080, Pahara, 3
1081, Jhingura, 2
1082, Vindhyachal, 3
1083, Birohe, 2
1084, Gaipura, 4
1085, Jigna, 1
1086, Manda Road, 4
1087, Unchdih, 2
1088, Meja Road, 4
1089, Bheerpur, 3
1090, Karchana, 4
